"","AdmArea","Month","Year","TotalAmount"
"345","Зеленоградский административный округ","Ноябрь",2017,392745739
"346","Новомосковский административный округ","Ноябрь",2017,217172886
"347","Троицкий административный округ","Ноябрь",2017,84779580
"348","Центральный административный округ","Октябрь",2017,1233226017
"349","Северный административный округ","Октябрь",2017,1645372182
"350","Северо-Восточный административный округ","Октябрь",2017,1880232302
"351","Восточный административный округ","Октябрь",2017,2064157993
"352","Юго-Восточный административный округ","Октябрь",2017,1977656028
"353","Южный административный округ","Октябрь",2017,2198091250
"354","Юго-Западный административный округ","Октябрь",2017,2023230405
"355","Западный административный округ","Октябрь",2017,1669211003
"356","Северо-Западный административный округ","Октябрь",2017,1215543979
"357","Зеленоградский административный округ","Октябрь",2017,393035156
"358","Новомосковский административный округ","Октябрь",2017,196158895
"359","Троицкий административный округ","Октябрь",2017,72164546
"360","Центральный административный округ","Август",2017,1205424733
"361","Северный административный округ","Август",2017,1607047508
"362","Северо-Восточный административный округ","Август",2017,1835790790
"363","Восточный административный округ","Август",2017,2045619920
"364","Юго-Восточный административный округ","Август",2017,1947130098
"365","Южный административный округ","Август",2017,2149808763
"366","Юго-Западный административный округ","Август",2017,1996716575
"367","Западный административный округ","Август",2017,1629367936
"368","Северо-Западный административный округ","Август",2017,1190715684
"369","Зеленоградский административный округ","Август",2017,383138407
"370","Новомосковский административный округ","Август",2017,173925379
"371","Троицкий административный округ","Август",2017,66753026
"372","Центральный административный округ","Апрель",2018,1242811612
"373","Северный административный округ","Апрель",2018,1650462485
"374","Северо-Восточный административный округ","Апрель",2018,1889892109
"375","Восточный административный округ","Апрель",2018,2065005336
"376","Юго-Восточный административный округ","Апрель",2018,1970034555
"377","Южный административный округ","Апрель",2018,2212800937
"378","Юго-Западный административный округ","Апрель",2018,2049846950
"379","Западный административный округ","Апрель",2018,1662207285
"380","Северо-Западный административный округ","Апрель",2018,1218166477
"381","Зеленоградский административный округ","Апрель",2018,393904960
"382","Новомосковский административный округ","Апрель",2018,237445057
"383","Троицкий административный округ","Апрель",2018,97431933
"384","Центральный административный округ","Декабрь",2017,1258380754
"385","Северный административный округ","Декабрь",2017,1700823675
"386","Северо-Восточный административный округ","Декабрь",2017,1948327433
"387","Восточный административный округ","Декабрь",2017,2123730407
"388","Юго-Восточный административный округ","Декабрь",2017,2021091901
"389","Южный административный округ","Декабрь",2017,2246172239
"390","Юго-Западный административный округ","Декабрь",2017,2073623746
"391","Западный административный округ","Декабрь",2017,1718637220
"392","Северо-Западный административный округ","Декабрь",2017,1243914254
"393","Зеленоградский административный округ","Декабрь",2017,395068089
"394","Новомосковский административный округ","Декабрь",2017,249684238
"395","Троицкий административный округ","Декабрь",2017,107005796
"396","Центральный административный округ","Август",2018,1237711634
"397","Северный административный округ","Август",2018,1609269645
"398","Восточный административный округ","Август",2018,2050241252
"399","Юго-Восточный административный округ","Август",2018,1939833612
"400","Южный административный округ","Август",2018,2135184979
"401","Юго-Западный административный округ","Август",2018,1995368430
"402","Западный административный округ","Август",2018,1620577547
